number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state,key
5,-2.212462479464853,2023-04-25 17:13:02.088191,2023-04-25 17:13:04.399515,0 days 00:00:02.311324,0.0017166800076207924,33,336,24,2237006.836673418,0.06136678326576426,0.5714637041091919,0.00566554069519043,-2.212462479464853,-2.217459915102135,-2.920247777840801,-2.017254701428145,-1.6948875234883316,0.02977380867313503,0.0020471403363285824,0.4491589124742504,COMPLETE,1_3
6,-2.212425018026169,2023-04-25 17:13:02.644125,2023-04-25 17:13:08.061248,0 days 00:00:05.417123,4.901577453029595e-07,17,124,15,1.5305939836478936e-07,4.911824944726861e-06,1.3388192057609558,0.01438140869140625,-2.212425018026169,-2.2174693646456993,-2.920205712252711,-2.017233830414131,-1.6947911647921343,0.04428286003963376,0.0017795661366236447,0.4491723951580106,COMPLETE,1_3
7,-2.2005036364615482,2023-04-25 17:13:04.400966,2023-04-25 17:13:10.538406,0 days 00:00:06.137440,0.004018425746044411,29,248,8,4.407932921964704e-07,1391.8345478463154,1.5113767981529236,0.021974503993988037,-2.2005036364615482,-2.751032092712661,-2.5885738684128663,-2.033121961645984,-1.4292866230746817,0.0724548410118266,0.001748581164094251,0.5187659377962293,COMPLETE,1_3
8,-2.211550050885709,2023-04-25 17:13:08.062809,2023-04-25 17:13:10.497421,0 days 00:00:02.434612,1.4466356757224082e-05,46,280,23,64896.36207226565,2.6649549360602017e-07,0.5953253507614136,0.012316346168518066,-2.211550050885709,-2.2163075275464155,-2.920247777840801,-2.0180510440233275,-1.691593854132291,0.0931145578998007,0.004646390252039858,0.4500198367779187,COMPLETE,1_3
9,-2.135355489783563,2023-04-25 17:13:10.499386,2023-04-25 17:13:17.216319,0 days 00:00:06.716933,0.0010528196723999597,4,364,6,5.306436350446692,4.694262588844968e-07,1.654284954071045,0.023962020874023438,-2.135355489783563,-2.4383428464801145,-2.6973005329973208,-1.9916832320366957,-1.4140953476201215,0.04116602372073658,0.0009442095626733785,0.48693980126659026,COMPLETE,1_3
10,-2.1992549445009244,2023-04-25 17:13:10.543904,2023-04-25 17:13:44.905740,0 days 00:00:34.361836,0.00018061612603306707,20,418,34,0.0451458522788841,23102.660602539534,8.530962467193604,0.05791950225830078,-2.1992549445009244,-2.2195123560112853,-2.909891451701747,-2.0098162022019634,-1.657799768088702,0.35181283018921866,0.019350376342052614,0.4567481125399119,COMPLETE,1_3
11,-2.2117530606264264,2023-04-25 17:13:10.685192,2023-04-25 17:13:15.572665,0 days 00:00:04.887473,9.893911615813914e-06,47,124,13,86.45037269138442,0.03455910274897898,1.2070757746696472,0.013959527015686035,-2.2117530606264264,-2.217622880699027,-2.919425091857216,-2.0168458173508994,-1.6931184525985623,0.0318799752558501,0.0014814359907761529,0.4493898220641735,COMPLETE,1_3
12,-2.212369492281262,2023-04-25 17:13:13.865798,2023-04-25 17:13:22.063734,0 days 00:00:08.197936,2.066530258814744e-06,14,147,47,1024.9240119225294,4467.9201301833145,2.031451106071472,0.01701521873474121,-2.212369492281262,-2.2175255780106418,-2.92016648432314,-2.017191006515588,-1.694594900275676,0.20051151727454636,0.0028818174051585396,0.4492183034438577,COMPLETE,1_3
13,-2.286540439670591,2023-04-25 17:13:15.574354,2023-04-25 17:13:24.095536,0 days 00:00:08.521182,0.0034259059441526752,29,395,7,5.79196930817139e-05,453.6139029609689,2.0993714332580566,0.02749854326248169,-2.286540439670591,-2.959782241908764,-2.5372915162866745,-2.092373638140987,-1.5567143623459399,0.10189756075996936,0.0015581609556471806,0.5211711515098356,COMPLETE,1_3
14,-2.1676366789932375,2023-04-25 17:13:17.218041,2023-04-25 17:13:23.721300,0 days 00:00:06.503259,0.0022739403810908797,31,389,5,0.0007793654699013266,868.5693162076725,1.5973439812660217,0.024888217449188232,-2.1676366789932375,-2.6821234700707626,-2.534741929949455,-2.0156741509768437,-1.4380071649758885,0.07747399094817078,0.0005035381305531527,0.48859870065300076,COMPLETE,1_3
